district,municipaly,year,week,outlier_score
Kitzbühel,Jochberg,2020,12,0.05289553850889206
Imst,Längenfeld,2020,13,0.05289553850889206
Imst,Nassereith,2020,14,0.05289553850889206
Reutte,Steeg,2020,9,0.05289553850889206
Reutte,Elbigenalp,2020,10,0.05289553850889206
Reutte,Namlos,2020,11,0.05289553850889206
Landeck,Fiss,2020,15,0.05289553850889206
Landeck,Spiss,2020,16,0.05289553850889206
Innsbruck-Land,Matrei am Brenner,2020,17,0.05289553850889206
Innsbruck-Land,Flaurling,2020,1,0.9975306987762451
Innsbruck-Land,Grinzens,2020,2,0.05289553850889206
Innsbruck-Land,Polling in Tirol,2020,3,0.05289553850889206
Schwaz,Hainzenberg,2020,4,0.05289553850889206
Schwaz,Buch in Tirol,2020,5,0.05289553850889206
Kufstein,Erl,2020,6,0.05289553850889206
Kufstein,Wörgl,2020,7,0.05289553850889206
Lienz,Oberlienz,2020,8,0.05289553850889206
Lienz,Nikolsdorf,2020,9,0.05289553850889206
Lienz,Schlaiten,2020,10,0.05289553850889206
Kitzbühel,Jochberg,2020,9,0.05289553850889206
Imst,Längenfeld,2020,10,0.05289553850889206
Imst,Nassereith,2020,11,0.05289553850889206
Reutte,Steeg,2020,6,0.05289553850889206
Reutte,Elbigenalp,2020,7,0.05289553850889206
Reutte,Namlos,2020,8,0.05289553850889206
Landeck,Fiss,2020,12,0.05289553850889206
Landeck,Spiss,2020,13,0.05289553850889206
Innsbruck-Land,Matrei am Brenner,2020,14,0.05289553850889206
Innsbruck-Land,Götzens,2020,15,0.05289553850889206
Innsbruck-Land,Ellbögen,2020,16,0.05289553850889206
Innsbruck-Land,Aldrans,2020,17,0.05289553850889206
Schwaz,Hainzenberg,2020,1,0.05289553850889206
Schwaz,Buch in Tirol,2020,2,0.05289553850889206
Kufstein,Erl,2020,3,0.05289553850889206
Kufstein,Wörgl,2020,4,0.05289553850889206
Lienz,Oberlienz,2020,5,0.9971389174461365
Lienz,Nikolsdorf,2020,6,0.05289553850889206
Lienz,Schlaiten,2020,7,0.05289553850889206
Kitzbühel,Jochberg,2020,10,0.05289553850889206
Imst,Längenfeld,2020,11,0.05289553850889206
Imst,Nassereith,2020,12,0.05289553850889206
Reutte,Steeg,2020,7,0.05289553850889206
Reutte,Elbigenalp,2020,8,0.05289553850889206
Reutte,Namlos,2020,9,0.05289553850889206
Landeck,Fiss,2020,13,0.05289553850889206
Landeck,Spiss,2020,14,0.05289553850889206
Innsbruck-Land,Matrei am Brenner,2020,15,0.05289553850889206
Innsbruck-Land,Götzens,2020,16,0.05289553850889206
Innsbruck-Land,Ellbögen,2020,17,0.05289553850889206
Innsbruck-Land,Polling in Tirol,2020,1,0.05289553850889206
Schwaz,Hainzenberg,2020,2,0.05289553850889206
Schwaz,Buch in Tirol,2020,3,0.05289553850889206
Kufstein,Erl,2020,4,0.05289553850889206
Kufstein,Wörgl,2020,5,0.05289553850889206
Lienz,Oberlienz,2020,6,0.05289553850889206
Lienz,Nikolsdorf,2020,7,0.05289553850889206
Lienz,Schlaiten,2020,8,0.05289553850889206
Kitzbühel,Jochberg,2020,11,0.05289553850889206
Imst,Längenfeld,2020,12,0.05289553850889206
Imst,Nassereith,2020,13,0.05289553850889206
Reutte,Steeg,2020,8,0.05289553850889206
Reutte,Elbigenalp,2020,9,0.05289553850889206
Reutte,Namlos,2020,10,0.05289553850889206
Landeck,Fiss,2020,14,0.05289553850889206
Landeck,Spiss,2020,15,0.05289553850889206
Innsbruck-Land,Matrei am Brenner,2020,16,0.05289553850889206
Innsbruck-Land,Götzens,2020,17,0.05289553850889206
Innsbruck-Land,Grinzens,2020,1,0.05289553850889206
Innsbruck-Land,Polling in Tirol,2020,2,0.05289553850889206
Schwaz,Hainzenberg,2020,3,0.05289553850889206
Schwaz,Buch in Tirol,2020,4,0.05289553850889206
Kufstein,Erl,2020,5,0.05289553850889206
Kufstein,Wörgl,2020,6,0.05289553850889206
Lienz,Oberlienz,2020,7,0.05289553850889206
Lienz,Nikolsdorf,2020,8,0.05289553850889206
Lienz,Schlaiten,2020,9,0.05289553850889206
Kitzbühel,Kitzbühel,2020,6,0.05289553850889206
Imst,Silz,2020,7,0.05289553850889206
Imst,Sautens,2020,8,0.05289553850889206
Reutte,Weißenbach am Lech,2020,3,0.05289553850889206
Reutte,Schattwald,2020,4,0.05289553850889206
Reutte,Bach,2020,5,0.05289553850889206
Landeck,See,2020,9,0.05289553850889206
Landeck,Galtür,2020,10,0.05289553850889206
Innsbruck-Land,Schönberg im Stubaital,2020,11,0.05289553850889206
Innsbruck-Land,Reith bei Seefeld,2020,12,0.05289553850889206
Innsbruck-Land,Trins,2020,13,0.05289553850889206
Innsbruck-Land,Ampass,2020,14,0.05289553850889206
Schwaz,Terfens,2020,15,0.05289553850889206
Schwaz,Schlitters,2020,16,0.05289553850889206
Schwaz,Rohrberg,2020,17,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,1,0.05289553850889206
Kufstein,Niederndorferberg,2020,2,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,3,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,4,0.05289553850889206
Kitzbühel,Kitzbühel,2020,3,0.05289553850889206
Imst,Silz,2020,4,0.05289553850889206
Imst,Sautens,2020,5,0.05289553850889206
Reutte,Schattwald,2020,1,0.05289553850889206
Reutte,Bach,2020,2,0.05289553850889206
Landeck,See,2020,6,0.05289553850889206
Landeck,Galtür,2020,7,0.05289553850889206
Innsbruck-Land,Schönberg im Stubaital,2020,8,0.05289553850889206
Innsbruck-Land,Reith bei Seefeld,2020,9,0.05289553850889206
Innsbruck-Land,Trins,2020,10,0.05289553850889206
Innsbruck-Land,Ampass,2020,11,0.05289553850889206
Schwaz,Terfens,2020,12,0.05289553850889206
Schwaz,Schlitters,2020,13,0.05289553850889206
Schwaz,Rohrberg,2020,14,0.05289553850889206
Kufstein,Alpbach,2020,15,0.05289553850889206
Kufstein,Angerberg,2020,16,0.05289553850889206
Lienz,Virgen,2020,17,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,1,0.05289553850889206
Kitzbühel,Kitzbühel,2020,4,0.05289553850889206
Imst,Silz,2020,5,0.05289553850889206
Imst,Sautens,2020,6,0.05289553850889206
Reutte,Weißenbach am Lech,2020,1,0.05289553850889206
Reutte,Schattwald,2020,2,0.05289553850889206
Reutte,Bach,2020,3,0.05289553850889206
Landeck,See,2020,7,0.05289553850889206
Landeck,Galtür,2020,8,0.05289553850889206
Innsbruck-Land,Schönberg im Stubaital,2020,9,0.05289553850889206
Innsbruck-Land,Reith bei Seefeld,2020,10,0.05289553850889206
Innsbruck-Land,Trins,2020,11,0.05289553850889206
Innsbruck-Land,Ampass,2020,12,0.05289553850889206
Schwaz,Terfens,2020,13,0.05289553850889206
Schwaz,Schlitters,2020,14,0.05289553850889206
Schwaz,Rohrberg,2020,15,0.05289553850889206
Kufstein,Alpbach,2020,16,0.05289553850889206
Kufstein,Angerberg,2020,17,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,1,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,2,0.05289553850889206
Kitzbühel,Kitzbühel,2020,5,0.05289553850889206
Imst,Silz,2020,6,0.05289553850889206
Imst,Sautens,2020,7,0.05289553850889206
Reutte,Weißenbach am Lech,2020,2,0.05289553850889206
Reutte,Schattwald,2020,3,0.05289553850889206
Reutte,Bach,2020,4,0.05289553850889206
Landeck,See,2020,8,0.05289553850889206
Landeck,Galtür,2020,9,0.05289553850889206
Innsbruck-Land,Schönberg im Stubaital,2020,10,0.05289553850889206
Innsbruck-Land,Reith bei Seefeld,2020,11,0.05289553850889206
Innsbruck-Land,Trins,2020,12,0.05289553850889206
Innsbruck-Land,Ampass,2020,13,0.05289553850889206
Schwaz,Terfens,2020,14,0.05289553850889206
Schwaz,Schlitters,2020,15,0.05289553850889206
Schwaz,Rohrberg,2020,16,0.05289553850889206
Kufstein,Alpbach,2020,17,0.05289553850889206
Kufstein,Niederndorferberg,2020,1,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,2,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,3,0.05289553850889206
Kitzbühel,Kitzbühel,2020,10,0.05289553850889206
Imst,Silz,2020,11,0.05289553850889206
Imst,Sautens,2020,12,0.05289553850889206
Reutte,Weißenbach am Lech,2020,7,0.05289553850889206
Reutte,Schattwald,2020,8,0.05289553850889206
Reutte,Bach,2020,9,0.05289553850889206
Landeck,See,2020,13,0.05289553850889206
Landeck,Galtür,2020,14,0.05289553850889206
Innsbruck-Land,Schönberg im Stubaital,2020,15,0.05289553850889206
Innsbruck-Land,Reith bei Seefeld,2020,16,0.05289553850889206
Innsbruck-Land,Trins,2020,17,0.05289553850889206
Innsbruck-Land,Patsch,2020,1,0.05289553850889206
Schwaz,Vomp,2020,2,0.05289553850889206
Schwaz,Bruck am Ziller,2020,3,0.05289553850889206
Schwaz,Brandberg,2020,4,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,5,0.05289553850889206
Kufstein,Niederndorferberg,2020,6,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,7,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,8,0.05289553850889206
Kitzbühel,Kitzbühel,2020,7,0.94005286693573
Imst,Silz,2020,8,0.05289553850889206
Imst,Sautens,2020,9,0.05289553850889206
Reutte,Weißenbach am Lech,2020,4,0.05289553850889206
Reutte,Schattwald,2020,5,0.05289553850889206
Reutte,Bach,2020,6,0.05289553850889206
Landeck,See,2020,10,0.05289553850889206
Landeck,Galtür,2020,11,0.05289553850889206
Innsbruck-Land,Schönberg im Stubaital,2020,12,0.05289553850889206
Innsbruck-Land,Reith bei Seefeld,2020,13,0.05289553850889206
Innsbruck-Land,Trins,2020,14,0.05289553850889206
Innsbruck-Land,Ampass,2020,15,0.05289553850889206
Schwaz,Terfens,2020,16,0.05289553850889206
Schwaz,Schlitters,2020,17,0.05289553850889206
Schwaz,Brandberg,2020,1,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,2,0.05289553850889206
Kufstein,Niederndorferberg,2020,3,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,4,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,5,0.05289553850889206
Kitzbühel,Kitzbühel,2020,8,0.05289553850889206
Imst,Silz,2020,9,0.05289553850889206
Imst,Sautens,2020,10,0.05289553850889206
Reutte,Weißenbach am Lech,2020,5,0.05289553850889206
Reutte,Schattwald,2020,6,0.05289553850889206
Reutte,Bach,2020,7,0.05289553850889206
Landeck,See,2020,11,0.05289553850889206
Landeck,Galtür,2020,12,0.05289553850889206
Innsbruck-Land,Schönberg im Stubaital,2020,13,0.05289553850889206
Innsbruck-Land,Reith bei Seefeld,2020,14,0.05289553850889206
Innsbruck-Land,Trins,2020,15,0.05289553850889206
Innsbruck-Land,Ampass,2020,16,0.05289553850889206
Schwaz,Terfens,2020,17,0.05289553850889206
Schwaz,Bruck am Ziller,2020,1,0.05289553850889206
Schwaz,Brandberg,2020,2,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,3,0.05289553850889206
Kufstein,Niederndorferberg,2020,4,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,5,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,6,0.05289553850889206
Kitzbühel,Kitzbühel,2020,9,0.05289553850889206
Imst,Silz,2020,10,0.05289553850889206
Imst,Sautens,2020,11,0.05289553850889206
Reutte,Weißenbach am Lech,2020,6,0.05289553850889206
Reutte,Schattwald,2020,7,0.05289553850889206
Reutte,Bach,2020,8,0.05289553850889206
Landeck,See,2020,12,0.05289553850889206
Landeck,Galtür,2020,13,0.05289553850889206
Innsbruck-Land,Schönberg im Stubaital,2020,14,0.05289553850889206
Innsbruck-Land,Reith bei Seefeld,2020,15,0.05289553850889206
Innsbruck-Land,Trins,2020,16,0.05289553850889206
Innsbruck-Land,Ampass,2020,17,0.05289553850889206
Schwaz,Vomp,2020,1,0.05289553850889206
Schwaz,Bruck am Ziller,2020,2,0.05289553850889206
Schwaz,Brandberg,2020,3,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,4,0.05289553850889206
Kufstein,Niederndorferberg,2020,5,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,6,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,7,0.05289553850889206
Kitzbühel,Kitzbühel,2020,14,0.05289553850889206
Imst,Silz,2020,15,0.05289553850889206
Imst,Sautens,2020,16,0.05289553850889206
Reutte,Weißenbach am Lech,2020,11,0.05289553850889206
Reutte,Schattwald,2020,12,0.05289553850889206
Reutte,Bach,2020,13,0.05289553850889206
Landeck,See,2020,17,0.05289553850889206
Landeck,Stanz bei Landeck,2020,1,0.05289553850889206
Innsbruck-Land,Pfons,2020,2,0.05289553850889206
Innsbruck-Land,Inzing,2020,3,0.05289553850889206
Innsbruck-Land,Sistrans,2020,4,0.05289553850889206
Innsbruck-Land,Patsch,2020,5,0.05289553850889206
Schwaz,Vomp,2020,6,0.05289553850889206
Schwaz,Bruck am Ziller,2020,7,0.05289553850889206
Schwaz,Brandberg,2020,8,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,9,0.05289553850889206
Kufstein,Niederndorferberg,2020,10,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,11,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,12,0.05289553850889206
Kitzbühel,Kitzbühel,2020,11,0.05289553850889206
Imst,Silz,2020,12,0.05289553850889206
Imst,Sautens,2020,13,0.05289553850889206
Reutte,Weißenbach am Lech,2020,8,0.05289553850889206
Reutte,Schattwald,2020,9,0.05289553850889206
Reutte,Bach,2020,10,0.05289553850889206
Landeck,See,2020,14,0.05289553850889206
Landeck,Galtür,2020,15,0.05289553850889206
Innsbruck-Land,Schönberg im Stubaital,2020,16,0.05289553850889206
Innsbruck-Land,Reith bei Seefeld,2020,17,0.05289553850889206
Innsbruck-Land,Sistrans,2020,1,0.05289553850889206
Innsbruck-Land,Patsch,2020,2,0.05289553850889206
Schwaz,Vomp,2020,3,0.05289553850889206
Schwaz,Bruck am Ziller,2020,4,0.05289553850889206
Schwaz,Brandberg,2020,5,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,6,0.05289553850889206
Kufstein,Niederndorferberg,2020,7,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,8,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,9,0.05289553850889206
Kitzbühel,Kitzbühel,2020,12,0.05289553850889206
Imst,Silz,2020,13,0.05289553850889206
Imst,Sautens,2020,14,0.05289553850889206
Reutte,Weißenbach am Lech,2020,9,0.05289553850889206
Reutte,Schattwald,2020,10,0.05289553850889206
Reutte,Bach,2020,11,0.05289553850889206
Landeck,See,2020,15,0.05289553850889206
Landeck,Galtür,2020,16,0.05289553850889206
Innsbruck-Land,Schönberg im Stubaital,2020,17,0.05289553850889206
Innsbruck-Land,Inzing,2020,1,0.05289553850889206
Innsbruck-Land,Sistrans,2020,2,0.05289553850889206
Innsbruck-Land,Patsch,2020,3,0.05289553850889206
Schwaz,Vomp,2020,4,0.05289553850889206
Schwaz,Bruck am Ziller,2020,5,0.05289553850889206
Schwaz,Brandberg,2020,6,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,7,0.05289553850889206
Kufstein,Niederndorferberg,2020,8,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,9,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,10,0.05289553850889206
Kitzbühel,Kitzbühel,2020,13,0.05289553850889206
Imst,Silz,2020,14,0.05289553850889206
Imst,Sautens,2020,15,0.05289553850889206
Reutte,Weißenbach am Lech,2020,10,0.05289553850889206
Reutte,Schattwald,2020,11,0.05289553850889206
Reutte,Bach,2020,12,0.05289553850889206
Landeck,See,2020,16,0.05289553850889206
Landeck,Galtür,2020,17,0.05289553850889206
Innsbruck-Land,Pfons,2020,1,0.05289553850889206
Innsbruck-Land,Inzing,2020,2,0.05289553850889206
Innsbruck-Land,Sistrans,2020,3,0.05289553850889206
Innsbruck-Land,Patsch,2020,4,0.05289553850889206
Schwaz,Vomp,2020,5,0.05289553850889206
Schwaz,Bruck am Ziller,2020,6,0.05289553850889206
Schwaz,Brandberg,2020,7,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,8,0.05289553850889206
Kufstein,Niederndorferberg,2020,9,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,10,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,11,0.05289553850889206
Kitzbühel,St. Johann in Tirol,2020,1,0.05289553850889206
Imst,Oetz,2020,2,0.05289553850889206
Imst,Jerzens,2020,3,0.05289553850889206
Reutte,Weißenbach am Lech,2020,15,0.05289553850889206
Reutte,Schattwald,2020,16,0.05289553850889206
Reutte,Bach,2020,17,0.05289553850889206
Landeck,Pettneu am Arlberg,2020,4,0.05289553850889206
Landeck,Stanz bei Landeck,2020,5,0.05289553850889206
Innsbruck-Land,Pfons,2020,6,0.05289553850889206
Innsbruck-Land,Inzing,2020,7,0.05289553850889206
Innsbruck-Land,Sistrans,2020,8,0.05289553850889206
Innsbruck-Land,Patsch,2020,9,0.05289553850889206
Schwaz,Vomp,2020,10,0.05289553850889206
Schwaz,Bruck am Ziller,2020,11,0.05289553850889206
Schwaz,Brandberg,2020,12,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,13,0.05289553850889206
Kufstein,Niederndorferberg,2020,14,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,15,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,16,0.05289553850889206
Kitzbühel,Kitzbühel,2020,15,0.05289553850889206
Imst,Silz,2020,16,0.05289553850889206
Imst,Sautens,2020,17,0.05289553850889206
Reutte,Weißenbach am Lech,2020,12,0.05289553850889206
Reutte,Schattwald,2020,13,0.05289553850889206
Reutte,Bach,2020,14,0.05289553850889206
Landeck,Pettneu am Arlberg,2020,1,0.05289553850889206
Landeck,Stanz bei Landeck,2020,2,0.05289553850889206
Innsbruck-Land,Pfons,2020,3,0.05289553850889206
Innsbruck-Land,Inzing,2020,4,0.05289553850889206
Innsbruck-Land,Sistrans,2020,5,0.05289553850889206
Innsbruck-Land,Patsch,2020,6,0.05289553850889206
Schwaz,Vomp,2020,7,0.05289553850889206
Schwaz,Bruck am Ziller,2020,8,0.05289553850889206
Schwaz,Brandberg,2020,9,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,10,0.94005286693573
Kufstein,Niederndorferberg,2020,11,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,12,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,13,0.05289553850889206
Kitzbühel,Kitzbühel,2020,16,0.94005286693573
Imst,Silz,2020,17,0.05289553850889206
Imst,Jerzens,2020,1,0.05289553850889206
Reutte,Weißenbach am Lech,2020,13,0.05289553850889206
Reutte,Schattwald,2020,14,0.05289553850889206
Reutte,Bach,2020,15,0.05289553850889206
Landeck,Pettneu am Arlberg,2020,2,0.05289553850889206
Landeck,Stanz bei Landeck,2020,3,0.05289553850889206
Innsbruck-Land,Pfons,2020,4,0.05289553850889206
Innsbruck-Land,Inzing,2020,5,0.05289553850889206
Innsbruck-Land,Sistrans,2020,6,0.05289553850889206
Innsbruck-Land,Patsch,2020,7,0.05289553850889206
Schwaz,Vomp,2020,8,0.05289553850889206
Schwaz,Bruck am Ziller,2020,9,0.05289553850889206
Schwaz,Brandberg,2020,10,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,11,0.05289553850889206
Kufstein,Niederndorferberg,2020,12,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,13,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,14,0.05289553850889206
Kitzbühel,Kitzbühel,2020,17,0.05289553850889206
Imst,Oetz,2020,1,0.05289553850889206
Imst,Jerzens,2020,2,0.05289553850889206
Reutte,Weißenbach am Lech,2020,14,0.05289553850889206
Reutte,Schattwald,2020,15,0.05289553850889206
Reutte,Bach,2020,16,0.05289553850889206
Landeck,Pettneu am Arlberg,2020,3,0.05289553850889206
Landeck,Stanz bei Landeck,2020,4,0.05289553850889206
Innsbruck-Land,Pfons,2020,5,0.05289553850889206
Innsbruck-Land,Inzing,2020,6,0.05289553850889206
Innsbruck-Land,Sistrans,2020,7,0.05289553850889206
Innsbruck-Land,Patsch,2020,8,0.05289553850889206
Schwaz,Vomp,2020,9,0.05289553850889206
Schwaz,Bruck am Ziller,2020,10,0.05289553850889206
Schwaz,Brandberg,2020,11,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,12,0.05289553850889206
Kufstein,Niederndorferberg,2020,13,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,14,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,15,0.05289553850889206
Kitzbühel,St. Johann in Tirol,2020,5,0.05289553850889206
Imst,Oetz,2020,6,0.05289553850889206
Imst,Jerzens,2020,7,0.05289553850889206
Reutte,Grän,2020,2,0.05289553850889206
Reutte,Ehenbichl,2020,3,0.05289553850889206
Reutte,Kaisers,2020,4,0.05289553850889206
Landeck,Pettneu am Arlberg,2020,8,0.05289553850889206
Landeck,Stanz bei Landeck,2020,9,0.05289553850889206
Innsbruck-Land,Pfons,2020,10,0.05289553850889206
Innsbruck-Land,Inzing,2020,11,0.05289553850889206
Innsbruck-Land,Sistrans,2020,12,0.05289553850889206
Innsbruck-Land,Patsch,2020,13,0.05289553850889206
Schwaz,Vomp,2020,14,0.05289553850889206
Schwaz,Bruck am Ziller,2020,15,0.05289553850889206
Schwaz,Brandberg,2020,16,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,17,0.05289553850889206
Kufstein,Rettenschöss,2020,1,0.05289553850889206
Lienz,Leisach,2020,2,0.05289553850889206
Lienz,Iselsberg-Stronach,2020,3,0.05289553850889206
Kitzbühel,St. Johann in Tirol,2020,2,0.05289553850889206
Imst,Oetz,2020,3,0.05289553850889206
Imst,Jerzens,2020,4,0.05289553850889206
Reutte,Weißenbach am Lech,2020,16,0.05289553850889206
Reutte,Schattwald,2020,17,0.05289553850889206
Reutte,Kaisers,2020,1,0.05289553850889206
Landeck,Pettneu am Arlberg,2020,5,0.05289553850889206
Landeck,Stanz bei Landeck,2020,6,0.05289553850889206
Innsbruck-Land,Pfons,2020,7,0.05289553850889206
Innsbruck-Land,Inzing,2020,8,0.05289553850889206
Innsbruck-Land,Sistrans,2020,9,0.05289553850889206
Innsbruck-Land,Patsch,2020,10,0.05289553850889206
Schwaz,Vomp,2020,11,0.05289553850889206
Schwaz,Bruck am Ziller,2020,12,0.05289553850889206
Schwaz,Brandberg,2020,13,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,14,0.05289553850889206
Kufstein,Niederndorferberg,2020,15,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,16,0.05289553850889206
Lienz,St. Jakob in Defereggen,2020,17,0.05289553850889206
Kitzbühel,St. Johann in Tirol,2020,3,0.05289553850889206
Imst,Oetz,2020,4,0.05289553850889206
Imst,Jerzens,2020,5,0.05289553850889206
Reutte,Weißenbach am Lech,2020,17,0.05289553850889206
Reutte,Ehenbichl,2020,1,0.05289553850889206
Reutte,Kaisers,2020,2,0.05289553850889206
Landeck,Pettneu am Arlberg,2020,6,0.05289553850889206
Landeck,Stanz bei Landeck,2020,7,0.05289553850889206
Innsbruck-Land,Pfons,2020,8,0.05289553850889206
Innsbruck-Land,Inzing,2020,9,0.05289553850889206
Innsbruck-Land,Sistrans,2020,10,0.05289553850889206
Innsbruck-Land,Patsch,2020,11,0.05289553850889206
Schwaz,Vomp,2020,12,0.05289553850889206
Schwaz,Bruck am Ziller,2020,13,0.05289553850889206
Schwaz,Brandberg,2020,14,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,15,0.9986892938613892
Kufstein,Niederndorferberg,2020,16,0.05289553850889206
Lienz,St. Veit in Defereggen,2020,17,0.05289553850889206
Lienz,Iselsberg-Stronach,2020,1,0.05289553850889206
Kitzbühel,St. Johann in Tirol,2020,4,0.94005286693573
Imst,Oetz,2020,5,0.05289553850889206
Imst,Jerzens,2020,6,0.05289553850889206
Reutte,Grän,2020,1,0.05289553850889206
Reutte,Ehenbichl,2020,2,0.05289553850889206
Reutte,Kaisers,2020,3,0.05289553850889206
Landeck,Pettneu am Arlberg,2020,7,0.05289553850889206
Landeck,Stanz bei Landeck,2020,8,0.05289553850889206
Innsbruck-Land,Pfons,2020,9,0.05289553850889206
Innsbruck-Land,Inzing,2020,10,0.05289553850889206
Innsbruck-Land,Sistrans,2020,11,0.9986892938613892
Innsbruck-Land,Patsch,2020,12,0.05289553850889206
Schwaz,Vomp,2020,13,0.05289553850889206
Schwaz,Bruck am Ziller,2020,14,0.05289553850889206
Schwaz,Brandberg,2020,15,0.05289553850889206
Kufstein,Reith im Alpbachtal,2020,16,0.05289553850889206
Kufstein,Niederndorferberg,2020,17,0.05289553850889206
Lienz,Leisach,2020,1,0.05289553850889206
Lienz,Iselsberg-Stronach,2020,2,0.05289553850889206
Kitzbühel,St. Johann in Tirol,2020,9,0.05289553850889206
Imst,Oetz,2020,10,0.05289553850889206
Imst,Jerzens,2020,11,0.05289553850889206
Reutte,Grän,2020,6,0.05289553850889206
Reutte,Ehenbichl,2020,7,0.05289553850889206
Reutte,Kaisers,2020,8,0.05289553850889206
Landeck,Pettneu am Arlberg,2020,12,0.05289553850889206
Landeck,Stanz bei Landeck,2020,13,0.05289553850889206
Innsbruck-Land,Pfons,2020,14,0.05289553850889206
Innsbruck-Land,Inzing,2020,15,0.05289553850889206
Innsbruck-Land,Sistrans,2020,16,0.05289553850889206
Innsbruck-Land,Patsch,2020,17,0.05289553850889206
Schwaz,Finkenberg,2020,1,0.05289553850889206
Schwaz,Fügenberg,2020,2,0.05289553850889206
Schwaz,Steinberg am Rofan,2020,3,0.05289553850889206
Kufstein,Brandenberg,2020,4,0.05289553850889206
Kufstein,Rettenschöss,2020,5,0.05289553850889206
Lienz,Leisach,2020,6,0.05289553850889206
Lienz,Iselsberg-Stronach,2020,7,0.05289553850889206
Kitzbühel,St. Johann in Tirol,2020,6,0.05289553850889206
Imst,Oetz,2020,7,0.05289553850889206
Imst,Jerzens,2020,8,0.05289553850889206
Reutte,Grän,2020,3,0.05289553850889206
Reutte,Ehenbichl,2020,4,0.05289553850889206
Reutte,Kaisers,2020,5,0.05289553850889206
Landeck,Pettneu am Arlberg,2020,9,0.05289553850889206
Landeck,Stanz bei Landeck,2020,10,0.05289553850889206
Innsbruck-Land,Pfons,2020,11,0.05289553850889206
Innsbruck-Land,Inzing,2020,12,0.05289553850889206
Innsbruck-Land,Sistrans,2020,13,0.05289553850889206
Innsbruck-Land,Patsch,2020,14,0.05289553850889206
Schwaz,Vomp,2020,15,0.05289553850889206
Schwaz,Bruck am Ziller,2020,16,0.05289553850889206
Schwaz,Brandberg,2020,17,0.05289553850889206
Kufstein,Brandenberg,2020,1,0.05289553850889206
Kufstein,Rettenschöss,2020,2,0.05289553850889206
Lienz,Leisach,2020,3,0.05289553850889206
Lienz,Iselsberg-Stronach,2020,4,0.05289553850889206
Kitzbühel,St. Johann in Tirol,2020,7,0.05289553850889206
Imst,Oetz,2020,8,0.05289553850889206
Imst,Jerzens,2020,9,0.05289553850889206
Reutte,Grän,2020,4,0.05289553850889206
Reutte,Ehenbichl,2020,5,0.05289553850889206
Reutte,Kaisers,2020,6,0.05289553850889206
Landeck,Pettneu am Arlberg,2020,10,0.05289553850889206
Landeck,Stanz bei Landeck,2020,11,0.05289553850889206
Innsbruck-Land,Pfons,2020,12,0.05289553850889206
Innsbruck-Land,Inzing,2020,13,0.05289553850889206
Innsbruck-Land,Sistrans,2020,14,0.05289553850889206
