district,municipaly,year,week,count,yearly_max_diff,yearly_mean_diff,weekly_max_diff,weekly_mean_diff
Kufstein,Kramsach,2020,35,1,0,0.0019723866,0,0
Kufstein,Kramsach,2020,36,1,0,0.0019723866,0,0.6666666667
Kufstein,Kramsach,2020,37,0,0,0,0,0
Kufstein,Kramsach,2020,38,2,0,0.008382643,0,0.2222222222
Kufstein,Kramsach,2020,39,0,0,0,0,0
Kufstein,Kramsach,2020,40,0,0,0,0,0
Kufstein,Kramsach,2020,41,0,0,0,0,0
Kufstein,Kramsach,2020,42,2,0,0.008382643,1,1.6666666667
Kufstein,Kramsach,2020,43,1,0,0.0019723866,0,0.6666666667
Kufstein,Kramsach,2020,44,1,0,0.0019723866,0,0
Kufstein,Kramsach,2020,45,1,0,0.0019723866,0,0.1666666667
Kufstein,Kramsach,2020,46,2,0,0.008382643,0,0
Kufstein,Kramsach,2020,47,2,0,0.008382643,0.3333333333,1
Kufstein,Kramsach,2020,48,3,0,0.0147928994,0.5,0.6666666667
Kufstein,Kramsach,2020,49,2,0,0.008382643,1,1.6666666667
Kufstein,Kramsach,2020,50,1,0,0.0019723866,0,0.6666666667
Kufstein,Kramsach,2020,51,0,0,0,0,0
Kufstein,Kramsach,2020,52,1,0,0.0019723866,0,0.6666666667
Kufstein,Kirchbichl,2020,1,2,0,0.0075197239,0.5,1.3333333333
Kufstein,Kirchbichl,2020,2,0,0,0,0,0
Kufstein,Kirchbichl,2020,3,2,0,0.0075197239,0,0.5
Kufstein,Kirchbichl,2020,4,1,0,0.0011094675,0,0
Kufstein,Kirchbichl,2020,5,0,0,0,0,0
Kufstein,Kirchbichl,2020,6,1,0,0.0011094675,0,0
Kufstein,Kirchbichl,2020,7,1,0,0.0011094675,0,0
Kufstein,Kirchbichl,2020,8,1,0,0.0011094675,0,0
Kufstein,Kirchbichl,2020,9,0,0,0,0,0
Kufstein,Kirchbichl,2020,10,0,0,0,0,0
Kufstein,Kirchbichl,2020,11,1,0,0.0011094675,0,0
Kufstein,Kirchbichl,2020,12,1,0,0.0011094675,0,0
Kufstein,Kirchbichl,2020,13,3,0,0.0139299803,2,2.6666666667
Kufstein,Kirchbichl,2020,14,0,0,0,0,0
Kufstein,Kirchbichl,2020,15,4,0.0064102564,0.0203402367,2,1.6666666667
Kufstein,Kirchbichl,2020,16,1,0,0.0011094675,0,0
Kufstein,Kirchbichl,2020,17,1,0,0.0011094675,0.3333333333,1
Kufstein,Kirchbichl,2020,18,2,0,0.0075197239,0,0.5
Kufstein,Kirchbichl,2020,19,0,0,0,0,0
Kufstein,Kirchbichl,2020,20,0,0,0,0,0
Kufstein,Kirchbichl,2020,21,0,0,0,0,0
Kufstein,Kirchbichl,2020,22,0,0,0,0,0
Kufstein,Kirchbichl,2020,23,0,0,0,0,0
Kufstein,Kirchbichl,2020,24,1,0,0.0011094675,0,0.1666666667
Kufstein,Kirchbichl,2020,25,1,0,0.0011094675,0,0
Kufstein,Kirchbichl,2020,26,2,0,0.0075197239,0,0.5
Kufstein,Kirchbichl,2020,27,0,0,0,0,0
Kufstein,Kirchbichl,2020,28,0,0,0,0,0
Kufstein,Kirchbichl,2020,29,0,0,0,0,0
Kufstein,Kirchbichl,2020,30,2,0,0.0075197239,0,0.6666666667
Kufstein,Kirchbichl,2020,31,0,0,0,0,0
Kufstein,Kirchbichl,2020,32,1,0,0.0011094675,0,0.6666666667
Kufstein,Kirchbichl,2020,33,0,0,0,0,0
Kufstein,Kirchbichl,2020,34,1,0,0.0011094675,0,0.1666666667
