string,municipaly
Landeck - Nauders,Nauders
Grins-Landeck,Grins
Faggen-Prutz,Prutz
Galtür-Sautens,Galtür
Landeck - Norwegen,Landeck
Serfaus-Ischia,Serfaus
Wald im Pitztal,Arzl im Pitztal
Kauns - Kaunerberg,Kauns
Landeck - Zams,Zams
Landeck / St. Johann in Tirol,Landeck
Zams/Igls,Zams
Zams - Pedross,Zams
Roppen-Zams,Zams
Schnann am Arlberg,Pettneu am Arlberg
Kaltenbrunn-Kaunertal,Kaunertal
Langenprozelten,SKIP
Huben,SKIP
Kaunertal - Kaltenbrunn,Kaunertal
Natters-Mutters,Natters
Graz,Kufstein
Friedhof Kuffstein/Kleinholz,Kufstein
Zellbergeben,Zellberg
Burgstall/Schwendau,Schwendau
Kufstein/Hippach,Hippach
Danke,SKIP
Gattererberg,Stummerberg
Finkenberg/Hippach,Hippach
Schwendberg,Hippach
Innsbruck/Ginzling,Mayrhofen
Hippach/Uderns,Hippach
Kleinschwendberg,Schwendau
Duisburg/Zell am Ziller,Zell am Ziller
Finkenberg/Mayrhofen,Mayrhofen
Ramsau/Bichl,Ramsau im Zillertal
Bichl,Ramsau im Zillertal
Mayrhofen/Schwendau,Schwendau
Ramsau/Zell,Ramsau im Zillertal
Brandberg/Mayrhofen,Mayrhofen
Innsbruck/Hainzenberg,Hainzenberg
Ried im Zillertal/Uderns,Ried im Zillertal
Distelberg,Aschau im Zillertal
Laimach,Hippach
Vomp/Mayrhofen,Mayrhofen
Mayrhofen/Zell am Ziller,Zell am Ziller
Jenbach/Gerlos,Gerlos
Kaltenbach-Emberg,Kaltenbach
Ramsau/Tux,Ramsau im Zillertal
Ramsberg,Ramsau im Zillertal
Aschau/Brandenberg,Aschau im Zillertal
Fügen/St.Margarethen,Fügen
Mayrhofen/Ried,Ried im Zillertal
Datteln (Deutschland)/Mayrhofen,Mayrhofen
Mayrhofen/Gerlos,Gerlos
Innsbruck/Kaltenbach,Kaltenbach
Feichten / Kaunertal,Kaunertal
Vergötschen-Kaltenbrunn,Kaunertal
Faggen - Prutz,Faggen
Wenns/Zams,Zams
Reinheim-Fließ,Fließ
Landeck - Gurnau,Grins
Zams - Pedross/Langtaufers,Zams,
St. Anton am ARlberg,St. Anton am Arlberg
Landeck-Fließ,Fließ
Pettneu-St. Anton a. Arlberg,Pettneu am Arlberg
Fließ - Landeck,Fließ
Zams - Fließ,Zams
Nauders / Graz,Nauders
Zams-Gisingen,Zams
Landeck / Innsbruck,Landeck
Schönwies-Obsaurs,Schönwies
Feichten im Kaunertal,Kaunertal
Pettneu,Pettneu am Arlberg
Greit-Pfunds,Pfunds
Landeck/Stuttgart,Landeck
Pettneu a. A.,Pettneu am Arlberg
Fließ/Hochgallmigg,Fließ
Prutz-Innsbruck,Prutz
Mieming - St. Anton a. A.,Mieming
Wiesberg-Tobadill,Tobadill
Gstalda,Spiss
Feichten / Kauntertal,Kauntertal
Landeck - Innsbruck,Landeck
Obsaurs - Schönwies,Schönwies
Graf-Grins,Grins
St. Jakob a. Arlberg,St. Anton am Arlberg
Nauders - Bosnien,Nauders
Serfaus-Fließ,Fließ
Obsteig - Ladis,Ladis
Bach im Lechtal,Bach
Landeck-Lauterach,Landeck
Kaunertal-Innsbruck,Kaunertal
Grins - Graf,Grins
Deutschland - Landeck,Landeck
St. Anton am Arlberg / St. Jakob am Arlberg,St. Anton am Arlberg
St. Jakob am Arlberg/St. Anton am Arlberg,St. Anton am Arlberg
Landeck / Tösens,Tösens
Prutz-Fiss,Prutz
Fließ - Fließerau,Fließ
Landeck - Hall i. T.,Landeck
Fließ-Niedergallmigg,Fließ
Fließ-Imsterberg,Fließ
St. Anton a.A,St. Anton am Arlberg
Landeck - Weißenbach,Landeck
Innsbruck-Landeck,Landeck
Pians - Grins,Grins
Bozen-Oberau,Wildschönau
Fließ - Innsbruck,Fließ
St. Jakob,St. Anton am Arlberg
Zams - Perjen,Zams
Pfunds-Wand,Pfunds
Landeck-Schweiz,Landeck
Landeck-Mils bei Imst,Landeck
Innsbruck - Fließ,Fließ
Landeck -,Landeck
Pettneu a. Arlberg,Pettneu am Arlberg
Schöwies-Starkenbach,Schönwies
Pians-Quadratsch,Pians
Fließ - Urgen,Fließ
Bichlbach - Prutz,Prutz
Kaltenbrunn - Kaunerberg,Kaunerberg
Landeck-Innsbruck,Landeck
Zams - Strengen,Strengen
St.  Jakob a. A.,St. Anton am Arlberg
Schnann-Volders,Volders
Pians-Landeck,Pians
Prutz - Landeck,Prutz
Zams - Schönwies,Schönwies
Zams - Innsbruck,Zams
Türkei-Landeck,Landeck
Imst - Pakistan,Imst
Altenkessel - Perjen,Landeck
Faggen/Prutz - Perjen,Landeck
St. Anton am Arlberg - Innsbruck,St. Anton am Arlberg
Feichten - See,Feichten
Nassereith - Dormitz,Nassereith
Landeck - Salzburg,Landeck
Ehrwald - Flirsch,Ehrwald
Prutz - Innsbruck,Prutz
Samnaun - Compatsch,Spiss
A 6460  Imst,Imst
A 6543  Nauders,Nauders
A 6500  Landeck,Landeck
A 6542  Pfunds,Pfunds
A 6574  Schnann,Schnann
A 6491  Schönwies,Schönwies
A 6511  Zams,Zams
A 6500  Hochgallmigg,Hochgallmigg
A 6574  Pettneu am Arlberg,Pettneu am Arlberg
A 6591  Grins,Grins
A 6500  Stanz,Stanz
A 6542  Spiss,Spiss
A 6464  Tarrenz,Tarrenz
A 6531  Ried i. O.,Ried im Oberinntal
A 6551  Pians,Pians
A 6522  Prutz,Prutz
A 6500  Landeck - Grins,Grins
A 6580  St. Anton am Arlberg,St. Anton am Arlberg
A 6521  Fließ - Eichholz,Fließ
A 6425  Haiming,Haiming
A 6632  Ehrwald,Ehrwald
A 6533  Fiss,Fiss
A 6532  Ladis,Ladis
A 6414  Untermieming,Untermieming
A 6500  Landeck - Fendels,Fendels
A 6528  Fendels,Fendels
A 6571  Strengen,Strengen
A 6521  Fließ,Fließ
A 6541  Tösens,Tösens
A 6572  Flirsch,Flirsch
A 6591  Grins - Nesselgarten,Grins
A 6580  St. Jakob am Arlberg,St. Anton am Arlberg
A 6531  Ried i. O. - Jochberg,Ried im Oberinntal
A 6524  Kaunertal - Feichten,Kaunertal
A 6491  Mils bei Imst,Mils
A 6524  Kaunertal - Kaltenbrunn,Kaunertal
A 6500  Landeck - Fließerau,Fließerau
A 6574  Pettneu,Pettneu am Arlberg
A 6500  Landeck/Graf,Landeck
A 1220  Wien,SKIP
A 6522  Faggen,Faggen
A 6500  Landeck / Montenegro,Landeck
A 6552  Tobadill,Tobadill
A 6521  FlieÃ,Fließ
A 6473  Wenns - Piller,Wenns
A 6473  Piller,Wenns
A 6651  Elbigenalp - Häselgehr,Elbigenalp
A 6534  Serfaus,Serfaus
A 6424  Silz,Silz
A 6524  Feichten,Feichten
A 6491  Obsaurs b. Schönwies,Schönwies
A 6591  Grins - Graf,Grins
A 6522  Kauns,Kauns
A 6531  Ladis,Ladis
Landeck - Deutschland,Landeck
Zams - Pedross/Langtaufers,Zams
Kauntertal,Kaunertal
Feichten,Kaunertal
Schnann,Pettneu am Arlberg
Hochgallmigg,Fließ
Stanz,Stanz bei Landeck
Untermieming,Mieming
Fließerau,Landeck
Perjen,Landeck
Zams-Tösens,Tösens
Axams-Birgitz,Axams
Reith,Reith bei Seefeld
Leiblfing/ Pettnau,Pettnau
Zirl - Lienz,Zirl
Innsbruck - FH Pradl,Innsbruck
Zirl - Bruck an der Leitha,Zirl
Wiltener Basilika/ Innsbruck,Innsbruck
Inzing - Zirl,Zirl
Reith b. Seefeld,Reith bei Seefeld
Flaurling/Telfs,Flaurling
West Friedhof,Innsbruck
Innsbruck Reichenau,Innsbruck
Waldfriedhof Scharnitz,Scharnitz
Reith/Seefeld,Reith bei Seefeld
Gries i. Sellrain,Gries im Sellrain
Kematen - Innsbruck,Kematen in Tirol
Innsbruck-Arzl,Innsbruck
St. Veit an der Glan/ Völs,Völs
Innsbruck/ Pradl,Innsbruck
Kematen / Unterperfuss,Unterperfuss
Völs - Wiltener Basilika/Innsbruck,Völs
Waldfriedhof  Seefeld,Seefeld in Tirol
Fulpmes / Zirl,Fulpmes
Zirl/Thailand,Zirl
Innsbruck-West Friedhof,Innsbruck
Zirl/ Innsbruck,Zirl
Innsbruck / Gries i. S.,Gries im Sellrain
Telfs/ St. Georgen,Telfs
Götzens/ Innsbruck,Götzens
Völs/Innsbruck,Völs
Zirl / Innsbruck,Zirl
Innsbruck/ Breitenwang,Breitenwang
Hall / Zirl,Zirl
Zirl/Niederlande,Zirl
Oberperfuss/Innsbruck,Oberperfuss
Pettnau/Leiblfing,Pettnau
Stiftskirche - Wiltener FH,Innsbruck
Pfarre Wilten West,Innsbruck
Völs-Rumänien,Völs
Telfs/Zirl,Telfs
Axams - Zirl,Axams
Oberndorf - Zirl,Zirl
Unterleutasch - München,Leutasch
Leiblfing/Pettnau,Pettnau
Maria Waldrast,Mühlbachl
Taufers,SKIP
Wilten-Innsbruck,Innsbruck
Innsbruck - West Friedhof,Innsbruck
Innsbruck/Wilten,Innsbruck
Innsbruck/Basilika,Innsbruck
Inzing/Dornbirn,Inzing
Zirl-Eben am Achensee,Zirl
Oberperfuss/Kematen,Oberperfuss
Westfriedhof-Innsbruck,Innsbruck
Innsbruck - Belgien,Innsbruck
Absam / Hall,Absam
Innsbruck/Pradl,Innsbruck
Innsbruck - Mühlau,Innsbruck
Innsbruck-Scharnitz,Scharnitz
Leithen - Reith,Reith bei Seefeld
Innsbruck - Kranebitten,Innsbruck
Zirl - Bleiberg/Kärnten,Zirl
Innsbruck-Zirl,Zirl
Kematen/Völs,Völs
Innsbruck- Mühlau,Innsbruck
Krinz - Seefeld,Seefeld in Tirol
Wildermieming-Zirl,Zirl
Innsbruck - St. Nikolaus,Innsbruck
Zirl - Bad Häring,Zirl
Leithen/Reith,Reith bei Seefeld
Kematen - Imst,Imst
Seefeld-Zirl,Zirl
Zirl/ Eigenhofen,Zirl
Ischgl/Zams,Ischgl
Innsbruck-Axams,Axams
Friedhof Brixlegg,Brixlegg
Krematorium,Innsbruck
FH Hötting-Alt,Innsbruck
FH Mühlau Kirchenfriedhof,Innsbruck
FH Pradl Abschied,Innsbruck
FH Pradl Ost,Innsbruck
Abschied Allerheiligen,Innsbruck
Abschied Basilika,Innsbruck
Abschied Arzl,Innsbruck
Ötztal-Bahnhof Abschied,Imst
Abschied Guter Hirte,Innsbruck
Abschied Dom St. Jakob,Innsbruck
Abschied Schutzengelkirche,Innsbruck
Pfarrkiche Rum,Rum
Abschied Pfarrkirche Rum,Rum
Pfarrkirche Mühlau Abschied,Innsbruck
Alter Höttinger Friedhof,Innsbruck
Abschied Auferstehungskirche,Innsbruck
Strass,Strass im Zillertal
Bischofsstetten,SKIP
Innsbruck/Schwaz,Schwaz
Vomperberg,Vomp
Pradler Friedhof Innsbruck,Innsbruck
Schlitters/Igls,Schlitters
Schöllerberg,Gallzein
Schwaz/Innsbruck,Schwaz
Wien/Schwaz,Schwaz
Pill - Lienz,Pill
Pillberg,Pill
Jenbach/Italien,Jenbach
Fügen/Terfens,Fügen
Achenkirch/Linz,Achenkirch
Schwaz/Vomp,Vomp
Pill/Lustenau,Pill
Hall / Wattens,Wattens
Innsbruck/Friedhof Wilten,Innsbruck
Innsbruck/Friedhof Pradl,Innsbruck
Friedhof Hötting alt,Innsbruck
St. Norbert,Innsbruck
Städt. West FH,Innsbruck
Mühlauer FH,Innsbruck
Pradler FH,Innsbruck
FH Kössen,Kössen
Friedhof West,Innsbruck
PFK St.Nikolaus,Innsbruck
Dormitz,Nassereith
Städtischer FH Hall,Hall in Tirol
Mühlau/Ibk.,Innsbruck
Alten Höttinger Friedhof,Innsbruck
Friedhof Hall,Hall in Tirol
Wiltener FH,Innsbruck
FH Mutters,Mutters
Saggen/Ibk.,Innsbruck
Innsburck,Innsbruck
FH Maria- Hilf,Innsbruck
Innsbruck - Ladis,Ladis
Völs - Flaurling,Flaurling
Pettnau - Zirl,Pettnau
Mutters-Raitis,Mutters
Rotholz,Jenbach
Kapuzinerkirche Imst,Imst
Friedhof Aldrans,Aldrans
FH Schönberg,Schönberg im Stubaital
Peggau / Serfaus,Serfaus
Eichholz - Fließ,Fließ
Urgen-Fließ,Fließ
Starkenbach,Schönwies
Innsbruck – Westfriedhof,Innsbruck
Eichholz,Fließ
Landeck/Zams,Zams
Landeck/Perjen,Landeck
Lauterach / St. Anton am Arlberg,Landeck
Burgstall,Schwendau
Lugano/St. Anton am Arlberg,St. Anton am Arlberg
